id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	5	0	0	46	25	21	46	42	0
2	7	99	99	170	30	41	71	82	0
3	33	406	406	482	74	2	76	4	0
4	13	493	493	597	92	12	104	24	0
5	4	689	689	704	5	10	15	20	0
6	9	1013	1013	1095	53	29	82	58	0
10	5	1152	1174	1187	13	0	35	22	22
7	11	1114	1114	1191	21	19	77	75	0
8	13	1115	1131	1194	24	6	79	61	16
9	14	1125	1152	1207	35	5	82	52	27
11	5	1476	1476	1481	5	0	5	0	0
12	5	1679	1679	1736	21	36	57	72	0
14	5	1731	1736	1759	23	0	28	5	5
13	13	1700	1700	1838	43	66	138	161	0
15	24	1732	1759	1847	51	28	115	92	27
17	5	1938	1957	2014	57	0	76	19	19
16	28	1877	1877	2138	122	89	261	228	0
18	5	2379	2379	2384	5	0	5	0	0
19	5	2397	2397	2398	1	0	1	0	0
20	8	2429	2429	2460	16	15	31	30	0
21	4	2570	2570	2584	13	1	14	2	0
22	5	2750	2750	2785	35	0	35	0	0
23	24	2980	2980	3094	101	13	114	26	0
24	22	3118	3118	3176	52	2	58	8	0
25	6	3143	3157	3227	57	10	84	37	14
26	5	3225	3227	3243	16	0	18	2	2
27	6	3234	3243	3255	11	1	21	11	9
28	5	3281	3281	3302	21	0	21	0	0
29	3	3295	3302	3357	41	14	62	35	7
30	9	3339	3357	3384	14	13	45	44	18
0	0	0	0	3384	2307	0	3384	1077	0
